workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_21.0,2,1002,registration,3,8.0,,0.29499169480530885,0.12505163932018246,0.42005751949546755,6.637953891689754,2.3729597720869524,9.010888962881666,0.7909865906956508,46590
lam_21.0,2,1002,doctor,5,5.0,,0.15225235170409754,0.1993902958425032,0.35163657663757686,3.575651726557546,4.112334331354093,7.68787902069981,0.8224668662708187,46577
lam_21.0,2,1002,lab,4,10.0,,1.380338971798811e-05,0.10073155107867841,0.10074535607680817,5.9237246974745975e-05,0.19226155892487629,0.1922064965157574,0.04806538973121907,9376
lam_21.0,2,1002,pharmacy,2,6.0,,549.0376848329129,0.16670699511879636,549.1674291151617,11140.484652602276,1.8022579615277965,11141.574625486628,0.9011289807638982,26440
