workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_39.0,1,1001,registration,3,8.0,,485.60278437598606,0.12485182268052097,485.7036209254736,18183.977791184505,2.8821599535028746,18186.635597769604,0.9607199845009582,52996
lam_39.0,1,1001,doctor,5,5.0,,0.8681988264902749,0.2007481268129495,1.0690291095060636,24.441686804172033,4.776494847494649,29.217985719257367,0.9552989694989299,52991
lam_39.0,1,1001,lab,4,10.0,,5.18500732998952e-05,0.10072349955174277,0.10077534962504267,0.00028797207442417163,0.23028644113569874,0.23057441321012295,0.057571610283924685,10608
lam_39.0,1,1001,pharmacy,2,6.0,,725.6867232504076,0.16703757219925036,725.8117669103108,14714.296951996519,1.8344461033601698,14715.375205005013,0.9172230516800849,26329
