workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_3.0,2,1002,registration,3,8.0,,0.0006290348997383851,0.12445384163289851,0.1250828765326369,0.0020442728860679644,0.15380687220315642,0.15585114508922435,0.05126895740105214,6623
lam_3.0,2,1002,doctor,5,5.0,,3.6264910777138336e-05,0.1987125195673172,0.19874878447809433,0.0001131846261601197,0.32565421827407887,0.3257674029002389,0.06513084365481576,6623
lam_3.0,2,1002,lab,4,10.0,,0.0,0.1024888177712186,0.1024888177712186,0.0,0.005677005736138149,0.005677005736138149,0.0014192514340345373,1353
lam_3.0,2,1002,pharmacy,2,6.0,,0.013978337629725978,0.1638496090385347,0.17783026749469763,0.04523266213132895,0.2370507226048599,0.2821954712897544,0.11852536130242995,6622
