workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_2.0,0,1000,registration,3,8.0,,2.347031912357878e-05,0.12424152492935524,0.12426499524847882,4.807894872465113e-05,0.08122928591146931,0.08127736486019398,0.02707642863715644,4471
lam_2.0,0,1000,doctor,5,5.0,,0.0,0.20296530538010815,0.20296530538010815,0.0,0.17489004179353212,0.17489004179353212,0.034978008358706424,4471
lam_2.0,0,1000,lab,4,10.0,,0.0,0.09996039460566758,0.09996039460566758,0.0,0.0028314584408316427,0.0028314584408316427,0.0007078646102079107,931
lam_2.0,0,1000,pharmacy,2,6.0,,0.00549133882816047,0.1677170772121442,0.17320975669919828,0.011977680624581603,0.1271874392667396,0.1391211966032963,0.0635937196333698,4470
