workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_7.0,1,1001,registration,3,8.0,,0.0036770340168953797,0.12436567059900239,0.12804296537995827,0.02793542434803309,0.5764785761757363,0.6043232580250223,0.1921595253919121,15562
lam_7.0,1,1001,doctor,5,5.0,,0.0008097396503982707,0.20038902876350378,0.20119876841390205,0.006131591112858195,1.1117052327169021,1.1178368238297602,0.22234104654338044,15562
lam_7.0,1,1001,lab,4,10.0,,0.0,0.10346096790088388,0.10346096790088388,0.0,0.030367034188482665,0.030367034188482665,0.007591758547120666,3165
lam_7.0,1,1001,pharmacy,2,6.0,,0.09090245438023607,0.16583069230283284,0.2567395936656491,0.7273045219191651,0.8342173777793318,1.5614782389018247,0.4171086888896659,15561
