workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_18.0,0,1000,registration,3,8.0,,0.09403036214286971,0.1255883927202951,0.21961287065598617,1.812361434015077,1.9485391178907525,3.7607311227076266,0.6495130392969175,39195
lam_18.0,0,1000,doctor,5,5.0,,0.05653953685950561,0.19939172331689045,0.25593601179727676,1.105427133366085,3.384568906466674,4.489982656925672,0.6769137812933348,39192
lam_18.0,0,1000,lab,4,10.0,,2.380521018805312e-05,0.09885531613435608,0.09887912134454413,0.00014286878363730792,0.14627649479876192,0.14641936358239924,0.03656912369969048,8020
lam_18.0,0,1000,pharmacy,2,6.0,,415.6235930658248,0.16729498827920233,415.76379803762916,7122.086969790933,1.7585471262721275,7123.787894580354,0.8792735631360638,26275
