workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_36.0,2,1002,registration,3,8.0,,410.1660465760942,0.12444484721469717,410.26992125067306,14327.854827262372,2.8593139779218615,14330.566130707437,0.9531046593072872,53049
lam_36.0,2,1002,doctor,5,5.0,,1.2743286327657861,0.19977249553866147,1.4742399652330387,32.5265666119636,4.7577113999478895,37.28424421183529,0.951542279989578,53043
lam_36.0,2,1002,lab,4,10.0,,5.365679145775538e-05,0.09996320934988194,0.10001686614133969,0.0002644708316377944,0.24183967615005064,0.24210414698168845,0.06045991903751266,10769
lam_36.0,2,1002,pharmacy,2,6.0,,686.9173372466483,0.16509145431740763,687.0410001612413,14397.142206144143,1.8296908632888154,14398.521937965035,0.9148454316444077,26714
