workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_24.0,0,1000,registration,3,8.0,,3.871471981411597,0.12500546343815608,3.995992165438297,94.53977925427797,2.72335472175857,97.25980363511819,0.9077849072528565,52365
lam_24.0,0,1000,doctor,5,5.0,,0.8562294061936065,0.20078134950234092,1.0570646755561162,22.31878900027132,4.709306032476826,27.028057187964617,0.9418612064953653,52362
lam_24.0,0,1000,lab,4,10.0,,5.178408165260424e-05,0.09826330273430509,0.0983150868159577,0.0002515283776232451,0.2304757610307994,0.23072728940842263,0.05761894025769985,10623
lam_24.0,0,1000,pharmacy,2,6.0,,642.882212602085,0.16715292081574476,643.0075305573821,14310.60335786883,1.8315080429281798,14311.524122135537,0.9157540214640899,26303
