workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_4.0,0,1000,registration,3,8.0,,0.0007961897420452524,0.1273284605425966,0.12812475136243062,0.003382277429446248,0.24309193726834932,0.2464252242501343,0.08103064575611643,8674
lam_4.0,0,1000,doctor,5,5.0,,0.00011049012214677697,0.2019541838005539,0.20206468795141094,0.0005813849923966963,0.4969675799415207,0.49752225603439426,0.09939351598830413,8673
lam_4.0,0,1000,lab,4,10.0,,0.0,0.10092534193383965,0.10092534193383965,0.0,0.01000982316258429,0.01000982316258429,0.0025024557906460727,1684
lam_4.0,0,1000,pharmacy,2,6.0,,0.019812892737003995,0.1669873182520961,0.1868004921533717,0.08669042785991589,0.3686475969343052,0.45530538389383146,0.1843237984671526,8671
