workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_4.0,1,1001,registration,3,8.0,,0.0008912864952384894,0.12515151133270208,0.1260427978279406,0.0037229356776269855,0.2463671470489954,0.25009008272662236,0.08212238234966514,8879
lam_4.0,1,1001,doctor,5,5.0,,0.00011957969671155915,0.19918877477624428,0.19930835447295583,0.0004924855734385005,0.5120931420565985,0.5125856276300369,0.1024186284113197,8879
lam_4.0,1,1001,lab,4,10.0,,0.0,0.09567552861994925,0.09567552861994925,0.0,0.011424926023176315,0.011424926023176315,0.002856231505794079,1825
lam_4.0,1,1001,pharmacy,2,6.0,,0.018869115987240108,0.16693135654930308,0.1858004725365432,0.08323863887686364,0.38145464209293795,0.4646932809698016,0.19072732104646897,8879
