workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_4.0,2,1002,registration,3,8.0,,0.0009090994951406667,0.12368080786337983,0.12458990735852049,0.003677675944247332,0.23432123644753974,0.23799891239178708,0.07810707881584658,8665
lam_4.0,2,1002,doctor,5,5.0,,0.00018792837156597237,0.1972619687901539,0.19744994461837936,0.0007443842797728166,0.48664422444358,0.48728983759792993,0.097328844888716,8663
lam_4.0,2,1002,lab,4,10.0,,0.0,0.10167777602141552,0.10167777602141552,0.0,0.008757111977227613,0.008700260901316358,0.002189277994306903,1776
lam_4.0,2,1002,pharmacy,2,6.0,,0.020864329076538103,0.16763695759657207,0.1885012866731102,0.09040046753741132,0.3673582834996184,0.4577587510370298,0.1836791417498092,8662
