workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_8.0,1,1001,registration,3,8.0,,0.0050455942048904,0.1250185022571383,0.13006473144745592,0.04460720904159244,0.6882070182806137,0.7327639382780231,0.22940233942687124,17520
lam_8.0,1,1001,doctor,5,5.0,,0.0015374759023693105,0.1983863843905445,0.19992395704427637,0.012846793167163435,1.2797308164434678,1.292494370861047,0.2559461632886936,17519
lam_8.0,1,1001,lab,4,10.0,,0.0,0.09998362513889356,0.09998362513889356,0.0,0.0344456934991057,0.0344456934991057,0.008611423374776425,3492
lam_8.0,1,1001,pharmacy,2,6.0,,0.1294449010498473,0.16617725714675688,0.29562938087751944,1.1191852308172425,0.9754314223013114,2.094546167233622,0.4877157111506557,17518
