workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_5.0,2,1002,registration,3,8.0,,0.0016585825955318114,0.12299587609444154,0.12465445868997335,0.008528220619767704,0.3348480383367318,0.3433762589564995,0.1116160127789106,10903
lam_5.0,2,1002,doctor,5,5.0,,0.00011973332815469318,0.1984383689548779,0.19855810228303258,0.0006359681158762598,0.6778994578029994,0.6785354259188757,0.13557989156059988,10903
lam_5.0,2,1002,lab,4,10.0,,0.0,0.0995709189668385,0.0995709189668385,0.0,0.013191814351922473,0.013191814351922473,0.0032979535879806184,2160
lam_5.0,2,1002,pharmacy,2,6.0,,0.031167557070433626,0.1686453590852762,0.199816066939886,0.16962164147351402,0.5186882648883439,0.6882303318969167,0.2593441324441719,10902
