workload,rep,seed,node_name,servers,mu,lambda_effective,E[w],E[s],E[r],E[n_q],E[n_s],E[n],utilization,num_completed_jobs
lam_1.0,0,1000,registration,3,8.0,,0.0,0.12087161209891359,0.12087161209891359,0.0,0.019026917593352705,0.019018258435365663,0.006342305864450901,2146
lam_1.0,0,1000,doctor,5,5.0,,0.0,0.20490667127091297,0.20490667127091297,0.0,0.051666584935428694,0.051639041742409214,0.010333316987085738,2144
lam_1.0,0,1000,lab,4,10.0,,0.0,0.0953308361177044,0.0953308361177044,0.0,0.00032122211610047203,0.00032122211610047203,8.030552902511801e-05,439
lam_1.0,0,1000,pharmacy,2,6.0,,0.000603654617779286,0.16173433532151996,0.16233798993929924,0.0006005245115894979,0.03273493335495925,0.03333545786654875,0.016367466677479625,2144
